name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Abilene Christian University,Texas,TX,Private,4 Year,total,in,48300,45980,44740,43100,41800,39900,38250,35300,32300
Abilene Christian University,Texas,TX,Private,4 Year,total,out,48300,45980,44740,43100,41800,39900,38250,35300,32300
Abilene Christian University,Texas,TX,Private,4 Year,tuition,in,33330,32070,30830,29450,28350,26770,25270,22760,20290
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,total,in,15121,15025,14853,17934,17503,16550,12347,13137,12713
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,total,out,21859,21632,21460,24379,25171,22684,18385,19137,18689
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,tuition,in,3503,3453,3453,3394,3848,3279,3172,2962,2718
Academy of Art University,California,CA,For Profit,4 Year,total,in,42250,41234,40204,38806,37828,36884,36202,36050,36130
Academy of Art University,California,CA,For Profit,4 Year,total,out,42250,41234,40204,38806,37828,36884,36202,36050,36130
Academy of Art University,California,CA,For Profit,4 Year,tuition,in,21252,21252,20340,19740,19130,18650,18050,18050,18050
Adams State University,Colorado,CO,Public,4 Year,total,in,22895,22266,21726,20564,19691,18410,17237,17006,15989
Adams State University,Colorado,CO,Public,4 Year,total,out,33911,33282,32238,31364,30323,29378,27485,26966,25133
Adams State University,Colorado,CO,Public,4 Year,tuition,in,9440,9153,8574,8014,7449,6448,5627,4971,4454
Adelphi University,New York,NY,Private,4 Year,total,in,56358,53688,51708,49940,47110,45200,43860,42200,40030
Adelphi University,New York,NY,Private,4 Year,total,out,56358,53688,51708,49940,47110,45200,43860,42200,40030
Adelphi University,New York,NY,Private,4 Year,tuition,in,37170,35740,34034,32340,30800,29320,28460,27900,26230
Adrian College,Michigan,MI,Private,4 Year,total,in,52074,50706,48906,45072,42740,40499,38283,36122,34242
Adrian College,Michigan,MI,Private,4 Year,total,out,52074,50706,48906,45072,42740,40499,38283,36122,34242
Adrian College,Michigan,MI,Private,4 Year,tuition,in,36010,34890,33610,32660,30758,29156,27440,25900,24440
Adventist University of Health Sciences,Florida,FL,Private,4 Year,total,in,27476,26556,25944,25344,24584,23274,22524,21914,21528
Adventist University of Health Sciences,Florida,FL,Private,4 Year,total,out,27476,26556,25944,25344,24584,23274,22524,21914,21528
Adventist University of Health Sciences,Florida,FL,Private,4 Year,tuition,in,14400,13480,13030,12430,11830,10780,10030,9580,9280
Agnes Scott College,Georgia,GA,Private,4 Year,total,in,54065,51992,50386,48832,47323,45691,44345,43133,41955
Agnes Scott College,Georgia,GA,Private,4 Year,total,out,54065,51992,50386,48832,47323,45691,44345,43133,41955
Agnes Scott College,Georgia,GA,Private,4 Year,tuition,in,39960,38472,37236,35982,34788,33461,32195,31283,30105
Alabama State University,Alabama,AL,Public,4 Year,total,in,21482,19634,19137,18286,18286,16681,17592,15908,15212
Alabama State University,Alabama,AL,Public,4 Year,total,out,29810,26570,26070,25222,25222,22993,23904,22220,20828
Alabama State University,Alabama,AL,Public,4 Year,tuition,in,11068,9220,8723,8720,8720,7932,8082,7164,6468
Alaska Pacific University,Alaska,AK,Private,4 Year,total,in,34210,33690,31010,31210,43180,43180,40460,39750,37710
Alaska Pacific University,Alaska,AK,Private,4 Year,total,out,34210,33690,31010,31210,43180,43180,40460,39750,37710
Alaska Pacific University,Alaska,AK,Private,4 Year,tuition,in,20760,20310,19610,19610,29810,29810,27110,26360,24410
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,total,in,48019,46279,45089,44046,42800,41311,39868,39596,36564
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,total,out,48019,46279,45089,44046,42800,41311,39868,39596,36564
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,tuition,in,33621,31981,31081,30131,28900,27595,26380,25120,23860
Albany State University,Georgia,GA,Public,4 Year,total,in,19069,17398,19488,19044,19590,19190,18842,16142,14736
Albany State University,Georgia,GA,Public,4 Year,total,out,29530,27646,29736,29048,31792,31094,30456,25430,24028
Albany State University,Georgia,GA,Public,4 Year,tuition,in,5675,5490,5490,5192,6024,5912,5802,4592,4060
Albertus Magnus College,Connecticut,CT,Private,4 Year,total,in,51350,51530,50072,48650,47302,46528,43648,41100,39124
Albertus Magnus College,Connecticut,CT,Private,4 Year,total,out,51350,51530,50072,48650,47302,46528,43648,41100,39124
Albertus Magnus College,Connecticut,CT,Private,4 Year,tuition,in,31140,30526,29650,28930,28378,28358,26294,24374,23126
Albion College,Michigan,MI,Private,4 Year,total,in,56750,54150,52085,49685,48195,45884,43922,41528,40016
Albion College,Michigan,MI,Private,4 Year,total,out,56750,54150,52085,49685,48195,45884,43922,41528,40016
Albion College,Michigan,MI,Private,4 Year,tuition,in,43050,41040,39313,37485,36051,34194,32662,31186,30006
Albright College,Pennsylvania,PA,Private,4 Year,total,in,58320,55992,53880,51880,49160,47390,45690,44098,42870
Albright College,Pennsylvania,PA,Private,4 Year,total,out,58320,55992,53880,51880,49160,47390,45690,44098,42870
Albright College,Pennsylvania,PA,Private,4 Year,tuition,in,43454,41544,39850,38220,36660,35320,33990,32740,31600
Alcorn State University,Mississippi,MS,Public,4 Year,total,in,23413,22644,22036,21392,20984,20139,19189,16778,16172
Alcorn State University,Mississippi,MS,Public,4 Year,total,out,23413,22644,22036,21392,20984,20139,19189,23869,22738
Alcorn State University,Mississippi,MS,Public,4 Year,tuition,in,6888,6546,6386,6200,6108,5712,5247,4858,4498
Alfred University,New York,NY,Private,4 Year,total,in,43686,42524,41421,40866,39948,42092,41082,39890,38870
Alfred University,New York,NY,Private,4 Year,total,out,43686,42524,41421,40866,39948,42092,41082,39890,38870
Alfred University,New York,NY,Private,4 Year,tuition,in,28114,27078,26261,26026,25430,27794,26884,25976,25246
Allegany College of Maryland,Maryland,MD,Public,2 Year,total,in,23144,22738,21046,20668,20274,19510,18093,17967,18163
Allegany College of Maryland,Maryland,MD,Public,2 Year,total,out,24524,24088,22336,21898,21474,20680,19233,19107,19273
Allegany College of Maryland,Maryland,MD,Public,2 Year,tuition,in,7240,6990,6660,6420,6240,6118,5906,5906,5714
Allegheny College,Pennsylvania,PA,Private,4 Year,total,in,61120,58920,56710,53980,52020,50150,48350,46400,44800
Allegheny College,Pennsylvania,PA,Private,4 Year,total,out,61120,58920,56710,53980,52020,50150,48350,46400,44800
Allegheny College,Pennsylvania,PA,Private,4 Year,tuition,in,45970,44250,42470,40660,39100,37610,36190,34810,33560
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,total,in,12412,12412,12412,12212,12212,12212,11357,11357,11387
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,total,out,12412,12412,12412,12212,12212,12212,11357,11357,11387
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,tuition,in,5000,5000,5000,4800,4800,4800,4440,4440,4440
Allen County Community College,Kansas,KS,Public,2 Year,total,in,12634,11780,16490,11134,11154,11096,11340,10940,10426
Allen County Community College,Kansas,KS,Public,2 Year,total,out,12634,11780,16490,11134,11154,11096,11340,10940,10426
Allen County Community College,Kansas,KS,Public,2 Year,tuition,in,3584,2850,2910,2784,2304,2176,2080,2080,2016
Allen University,South Carolina,SC,Private,4 Year,total,in,23120,22800,22800,22800,20300,21500,21300,19777,20978
Allen University,South Carolina,SC,Private,4 Year,total,out,23120,22800,22800,22800,20300,21500,21300,19777,20978
Allen University,South Carolina,SC,Private,4 Year,tuition,in,13140,13140,13140,13140,11940,12140,11940,10884,11285
Alma College,Michigan,MI,Private,4 Year,total,in,52475,50613,48268,46350,44287,42312,40392,38602,36846
Alma College,Michigan,MI,Private,4 Year,total,out,52475,50613,48268,46350,44287,42312,40392,38602,36846
Alma College,Michigan,MI,Private,4 Year,tuition,in,38768,37310,35428,34220,32660,30960,29230,27580,26068
Alvernia University,Pennsylvania,PA,Private,4 Year,total,in,49330,47510,45920,44530,43250,42030,39982,38648,37147
Alvernia University,Pennsylvania,PA,Private,4 Year,total,out,49330,47510,45920,44530,43250,42030,39982,38648,37147
Alvernia University,Pennsylvania,PA,Private,4 Year,tuition,in,33640,32270,31100,30080,29060,27950,26630,25680,24350
Alverno College,Wisconsin,WI,Private,4 Year,total,in,40418,38551,37029,36154,34889,33316,32167,30950,29570
Alverno College,Wisconsin,WI,Private,4 Year,total,out,40418,38551,37029,36154,34889,33316,32167,30950,29570
Alverno College,Wisconsin,WI,Private,4 Year,tuition,in,28277,26932,25660,24434,23231,22126,21069,20060,19074
American Baptist College,Tennessee,TN,Private,4 Year,total,in,24644,24644,20814,19950,19545,16803,16287,12294,13350
American Baptist College,Tennessee,TN,Private,4 Year,total,out,24644,24644,20814,19950,19545,16803,16287,12294,13350
American Baptist College,Tennessee,TN,Private,4 Year,tuition,in,10074,10074,10074,9610,9350,9372,8594,6194,4800
American International College,Massachusetts,MA,Private,4 Year,total,in,50820,49490,47840,46480,44900,43468,41866,41665,39985
American International College,Massachusetts,MA,Private,4 Year,total,out,50820,49490,47840,46480,44900,43468,41866,41665,39985
American International College,Massachusetts,MA,Private,4 Year,tuition,in,34470,33140,31870,30940,30040,29158,27902,26700,25550
American Jewish University,California,CA,Private,4 Year,total,in,52899,51820,51192,49121,46869,46466,44144,44014,38569
American Jewish University,California,CA,Private,4 Year,total,out,52899,51820,51192,49121,46869,46466,44144,44014,38569
American Jewish University,California,CA,Private,4 Year,tuition,in,30938,30338,30236,29132,27900,27080,25788,24542,22352
American University,NA,DC,Private,4 Year,total,in,64234,62272,60586,59120,56808,55353,53653,52065,49903
American University,NA,DC,Private,4 Year,total,out,64234,62272,60586,59120,56808,55353,53653,52065,49903
American University,NA,DC,Private,4 Year,tuition,in,46615,44853,43103,41833,40649,39499,38071,36697,34973
Amherst College,Massachusetts,MA,Private,4 Year,total,in,71300,68986,66572,64006,61544,59060,56898,54322,51878
Amherst College,Massachusetts,MA,Private,4 Year,total,out,71300,68986,66572,64006,61544,59060,56898,54322,51878
Amherst College,Massachusetts,MA,Private,4 Year,tuition,in,54310,52476,50562,48526,46574,44610,42898,40862,38928
Anderson University,South Carolina,SC,Private,4 Year,total,in,42550,40334,39185,38324,37014,35790,34335,33100,31937
Anderson University,South Carolina,SC,Private,4 Year,total,out,42550,40334,39185,38324,37014,35790,34335,33100,31937
Anderson University,South Carolina,SC,Private,4 Year,tuition,in,26970,25880,24860,23750,22790,21730,20910,19950,19212
Anderson University,Indiana,IN,Private,4 Year,total,in,43450,42200,41060,40100,39390,38420,36870,36050,34690
Anderson University,Indiana,IN,Private,4 Year,total,out,43450,42200,41060,40100,39390,38420,36870,36050,34690
Anderson University,Indiana,IN,Private,4 Year,tuition,in,29710,28650,27680,26850,26280,25560,24610,24000,22910
Andrew College,Georgia,GA,Private,2 Year,total,in,35621,32800,29406,28271,27086,26050,25398,24822,23886
Andrew College,Georgia,GA,Private,2 Year,total,out,35621,32800,29406,28271,27086,26050,25398,24822,23886
Andrew College,Georgia,GA,Private,2 Year,tuition,in,16560,15770,14924,14226,13560,12916,12492,12138,11416
Andrews University,Michigan,MI,Private,4 Year,total,in,39714,38626,37732,36758,35538,34056,32402,30832,29380
Andrews University,Michigan,MI,Private,4 Year,total,out,39714,38626,37732,36758,35538,34056,32402,30832,29380
Andrews University,Michigan,MI,Private,4 Year,tuition,in,28436,27684,27000,26256,25470,24478,23428,22242,21170
Angelina College,Texas,TX,Public,2 Year,total,in,14271,13880,13790,13410,13250,12816,12145,11934,11896
Angelina College,Texas,TX,Public,2 Year,total,out,15621,15260,15170,14730,14570,14016,13075,12744,12706
Angelina College,Texas,TX,Public,2 Year,tuition,in,4080,3660,3570,3330,3240,2760,2580,2220,2070
Angelo State University,Texas,TX,Public,4 Year,total,in,19547,19943,19274,19138,18915,19511,19344,17538,16695
Angelo State University,Texas,TX,Public,4 Year,total,out,29507,29735,28634,27826,27411,27935,26856,24978,23343
Angelo State University,Texas,TX,Public,4 Year,tuition,in,7201,7047,6892,6856,6559,6327,6211,5672,5202
Anna Maria College,Massachusetts,MA,Private,4 Year,total,in,53020,51620,53186,51740,48146,44392,42930,40974,38818
Anna Maria College,Massachusetts,MA,Private,4 Year,total,out,53020,51620,53186,51740,48146,44392,42930,40974,38818
